전자정보통신 약어정리

 	(‘*’표는 통신에 주로 사용되는 약어임)
SDU 	Service Data Unit, 서비스 데이터 단위
SDV 	Slowed-Down Video
Se 	End of Spectral Selection, 스펙트럴 선택방식의 종료
SE 	Scattering Effect, 산란 현상
SE 	Session Entity
SE 	Spectral Envelope
SE 	Switching Element, 스위칭 요소, 교환 소자
SE 	System Engineer, 시스템 기술자
SEA 	Society of Electronics and Automation (France)
SEA 	Societe d'electronique et d'automatisme (French computer manufacturer)
SEAC 	Standards Eastern Automatic Computer (NBC)
SEAL 	Simple and Efficient Adaptation Layer
SEAL 	Standard Electronic Accounting Language
SEAS 	Signaling Engineering & Administration System
SEAS 	Signaling Exchange Administration System, 신호 교환 관리 시스템
SEC 	Secant
SEC 	Second
SEC 	Security Screening
SEC 	Sequence End Code, 시퀀스의 종료 코드 (MPEG)
SEC 	Simple Electronic Computer
SEC 	Single Error Correcting code, 단일 오류 정정 부호
SEC 	Single Error Correction, 단일 오류 정정
SEC-DED 	Single Error Correcting and Double Error Detecting Code
SECAM 	Sequenctial Couleur A Memoire
SECAM 	Sequenctial Couleur Avec Memoire, Sequential Coler And Memory, 세캄
SECAM 	Sequential a Memorie Color Television
SECcode 	Single Error Correcting code, 단일 오류 정정 부호
SECO 	Sequential Coding
SECO 	Sequential Control
SECS 	Semiconductor Equipment Communication Standards
SECTAM 	Southern Conference on Theoretical and Applied Mechanics
SED 	Satellite Equivalent Distance
SED 	Sequence Extension Data, 확장 데이터 (MPEG)
SEDIT 	Sophisticated String Editor
SEDP 	Semiunconstrained Endpoint DP matching, 무제한 끝점 DP 정합 (음성)
SEDPM 	Semiunconstrained Endpoint DP Matching, 무제한 끝점 DP 정합 (음성)
SEDS 	Society for Eduational Data Systems
SEEK 	Systems Evaluation and Exchange of Knowledge
SEF 	System Edit File, 시스템 에디트 파일
SEL 	Select
SEL 	SELector
SEL 	Standard Elektrik Lorenzag (German computer manufacturer)
SEL 	Systems Engineering Laboratories, inc.
SEMA 	Societe d'economie et de mathematique appliques (French programming organization)
SEMATECH 	Semiconductor Manufacturing Technology Consortium, 세마테크, 미국 관민 합동 반도체 제조 기술 컨소시엄
SEMF 	Synchronous Equipment Management Function
SENTOS 	Sentinel Operating System
SEP 	Scientific and Engineering Personnel
SEP 	Signal End Point, 신호단국
SEP 	Signaling End Point, 신호 종단점
SEP 	Standard Electronic Package
SEPOL 	Settlement Problem-Oriented Language
SEPOL 	Soil Engineering Problem-Oriented Language
SEQUEL 	Structured English QUEry Language
SER 	Segment-Error-Rate
SER 	Slat Error Rate
SEREL 	Societe d'exploitation et de recherches electroniques (French computer manufacturer)
SES 	Scientific and Engineering Software
SES 	Ship Earth Station
SESOME 	Service, Sort and Merge
SET 	Self-Ectending Translator
SETAR 	Serial Event Time And Recorder
SF 	Safety Factor
SF 	Security Feature
SF 	Shift Forward
SF 	Split Filter, 분리 필터
SF 	Standard Form
SF 	Store and Forward
SF 	Switching Fabric
SFAC 	Swiss Federation of Sutomatic Control
SFC 	Source Function Code, 소스 기능 코드
SFD 	Simple Formattable Document
SFD 	Start of Frame Delimiter
SFD 	Sudden Frequency Deviation, 돌발 주파수 변동
SFD-ALGOL 	System Function Description ALGOL
SFDR 	Spurious Free Dynamic Range (IMT-2000)
SFERT 	유럽 통화 표준 장치
SFET 	Synchronous Frequency Encoding Technique
SFF 	Straight Fixed Fee
SFH 	Sub-frame Header, 부프레임 헤더*
SFN 	Single Frequency Network
SFP 	Superframe Phase
SFR 	Special Function Register
SFR 	Specialized Resource Function
SFSK 	Sinusoidal Frequency Shift Keying
SFT 	System Fault Tolerance
SFT 	System File Table, 시스템 파일 테이블
SG 	Signal Ground, 신호용 접지
SG 	Signal Processing Subsystem, 신호계
SG 	Study Group, 연구 위원회
SGCH 	SiGnaling Channel, 신호 채널*
SGCP 	Source Generation Control Parameter, 음원 생성 파라미터 (음성)
SGML 	Standard Generalized Markup Language, 표준 범용 마크업 언어
SGMP 	Simple Gateway Monitoring Protocol, 심플 게이트웨이 모니터링 프로토콜, 간이 통신망 감시 프로토콜
SGN 	Scan Gate Number
SGN 	System Generator, 시스테 제너레이터, 시스템 생성기
SGP 	Signaling Processor, 신호 처리 장치
SGS 	Status Group Select
SGSR 	Society for General Systems Research
SGT 	Segement Table
SGXV 	Study Group XV, 전송 시스템과 장치 => ITU-T SG 15
SH 	Session Header, 세션 헤더
SH 	SHell, 쉘(셀=cell)*
SH 	Soft Handoff, 소프트 핸드 오프
SHA 	Software Houses Association (Great Britian)
SHAS 	Shared Hospital Accounting System (IBM)
ShATR 	Sheffield-ATR (음성)
SHC 	Sequence Header Code, 시퀀스 층의 개시 코드 (MPEG)
SHF 	Super High Frequency, 극초단파(3-30GHz)
SHG 	Second Harmonic Generation, 제2 고조파 발생
SHISAM 	Simple Hierarchical Indexed Sequential Access Method
SHO 	Soft Handoff, 소프트 핸드 오프
SHOAP 	Symbolic Horribly Optimizing Assembly Program (case institute fo technology)
SHR 	Self Healing Ring, 자기 회복 고리 망
SHSAM 	Simple Hierarchical Sequencial Access Method
SHTTP 	Secure HyperText Transport Protocol
SHW 	Sub HighWay, 서브 하이웨이
SI 	International System of Units
SI 	Sample Interval
SI 	Screen-grid Input
SI 	Serial Input, 직렬 입력
SI 	Shift-In (character)
SI 	Shift-In character, 시프트 인 문자
SI 	Singal-to-Intermodulation ratio
SI 	Source-Index register
SI 	Stationary Increment, 정상 증분
SI 	Storage Immediate
SI 	Subnet Identifier, 서브네트워크 식별자
SI 	Super Impose
SI 	Supplementary Information
SI 	Synchronization Information
SI 	System Integration, 시스템 인터그레이션, 시스템 통합
SIAM 	Society for Industrial and Applied Mathematics
SIASEA 	Single Instruction Array Single Execution Array
SIB 	Service Independent Build block
SIB 	Service Independent Building block	
SIBC 	Snake-In-the-Box Code
SIBF 	System Information Broadcasting Function (IMT-2000)
SIC 	Sector Interface Card, 섹터 인터페이스 카드
SIC 	Semiconductor Integrated Circuits
SIC 	Special Interest Committee (ACM)
SIC 	Standard Industrial Classification
SIC 	Successive or Serial Interference Cancellation (IMT-2000)
SICA 	Sector Interface Card Assembly, 섹터 인터페이스 카드
SICEJ 	Society of Instrument and Control Engineers of Japan
SICOM 	Interpretive System (Control data computer0
SICOM 	Securities Industry Communications
SICOS 	Sidewall Base Contact Structure, 사이코스
SID 	Segment IDentifier, 세그먼트 식별자
SID 	Silicon Dropper, 실리콘 강압 소자
SID 	Substitution, Insertion, Deletion, 대치, 삽입, 삭제 (음성)
SID 	Sudden Ionospheric Disturbance, 돌발 전리층 교란
SID 	Symbolic Instruction Debugger
SID 	System IDentification, 단말기가 가입된 시스템 식별자*
SIDB 	STP IMT-2000 Demodulator Board Assembly (IMT-2000)
SIDF 	Subscriber Identification Frame, 가입자 식별 프레임
SIDF 	System-Independent Data Format
SIDH 	System Identification for Home System
SIE 	Single Instruction Execute
SIF 	Source Input Format, 소스 입력 포맷
SIFS 	Short Interface Spacing
SIFT 	Share Internal FORTRAN Translator
SIG 	Signal, 신호
SIG 	Signaling Information, 신호 정보
SIG 	Signaling Processor, 신호 처리 장치
SIG 	Significant
SIG 	Special Interest Group
SIGMOD 	Special Interest Group on Management Of Data
SIM 	Set Initialization Mode, 설정 초기화 방식
SIM 	Subscriber Identification Module
SIM 	Subscriber Identify Module, 가입자 식별 장치
SIM 	Switch Interface Module
SIMBAD 	Simulation as a Basis for Social Agent's Decisions
SIMCOM 	Simulator Compiler, 시뮬레이터 컴파일러
SIMCON 	Console-Based Simulation Language
SIMCON 	Scientific Inventary management and Control System
SIMD 	Single Instruction stream Multiple Data stream, 심드
SIMM 	Single In-line Memory Module, = 모듈램
SIMM 	Single Inline Memory Module, 심, 싱글 인라인 메모리 모듈
SIMPAC 	Simplified Programming for Acquisition and Control
SIMPLE 	Simple Intuitive Multipurpose Language
SIMULA 	Simulation Language, 시뮬레이션 언어, 시뮬라
SIN 	Subscriber Interface Network, 가입자 인터페이스 네트워크
SIO 	Serial Input Output, 직렬 통신 소자
SIOC 	Serial I/O Controller, 직렬 입/출력 콘트롤러
SIOP 	Selector Input/Output Processors
SIOUX 	Sequential and Iterative Operation Unit X groups (block diagram language)
SIP 	Selector Interface Processor
SIP 	Single In-line Package
SIP 	SMDS Interface Protocol
SIPP 	Simple Internet Protocol Plus
SIPS 	Simulated Input Preparation System
SIR 	Selective Information Retrieval
SIR 	Signal to Interface Ratio, 신호대 간섭비
SIR 	Statistical Information Retrieval
SIR 	Symbolic Input Routine
SIS 	Simulation Interface System
SIS 	Society Information Systems
SIS 	Speaker Independent System, 화자 독립 시스템 (음성)
SIS 	Strategic Information System, 전략 정보 시스템
SISD 	Single Instruction stream Single Data stream
SISO 	Serial In Serial Out, 직렬 입력 직렬 출력
SISSEA 	Single Instruction Scalar Single Execution Array
SISSES 	Single Instruction Scalar Single Execution Scalar
SIT 	Simple Internet Transition
SITA 	Societe Internationale de Telecommunications Aeronautiques, 국제항공통신 공동체
SIU 	Subscriber Interface Unit, 가입자 인터페이스 장치
SIU 	System Integration Unit
SIWS 	Speaker Independent Word Spotting, 화자 독립 단어 검출 (음성)
SJ 	Simulation Journal
SJAM 	SIAM journal on Applied mathematics
SJCC 	Spring Joint Computer Conference
SJF 	Shortest Job First
SJNA 	SIAM Journal on Numerical Analysis
SJR 	Signal to Jammer Ratio, 신호대 재머비
SK 	Subscription Key
SKL 	Skip Lister
SL 	Serial Clock, 직렬 클럭
SL 	Source Language, 소스 랭귀지
SL 	Storage Location, 저장 위치
SL-1 	Simulation Language one
SLAC 	Stanford Linear Accelerator Center
SLAMS 	Simplified Language for Abstract Mathematical Structures
SLASH 	Sailer Laboratory ALGOL Simulated Hybrid (Burroughs B-5500)
SLC 	Shift Left and Count instructions
SLC 	Signaling Link Code(CCS7), No.7 신호 링크 코드
SLC 	Signaling Link Code, 신호 링크 번호 표시
SLC 	Signaling Link Control, 신호 링크 제어 블록
SLC 	Simulated Linguistic Computer
SLC 	Straight-Line Capacity
SLC 	Subscriber Loop Carrier, 가입자 루프 캐리어
SLC 	Subscriber-Loop Carrier
SLCIF 	Subscriber Line Circuit Interface, 가입자 인터페이스 회로
SLD 	Solid
SLD 	Solid Logic Dense (IBM)
SLD 	System Loader (IMT-2000)
SLDB 	System Load Data Block (IMT-2000)
SLE 	Society of Logistics Engineers
SLEM 	Service Logic Execution Manager
SLEMB 	Service Logic Execution Manager Block (IMT-2000)
SLI 	Suppress Length Indication
SLIC 	Subscriber Line Interface Circuit, 가입자 회로
SLIE 	Subscriber Line Interface Equipment, 가입자선 인터페이스 장치
SLIP 	Serial Line Interface Protocol, 직렬 라인 인터페이스 프로토콜
SLIP 	Serial Line Internet Protocol, 시리얼 라인 인터넷 프로토콜
SLIP 	Simple Line interface protocol
SLIP 	Symmetric List Processor (list processing programming language)
SLIS 	Shared Laboratory Information System (IBM)
SLM 	Signal Label Mismatch
SLM 	Square Law Modulator, 자승법 변조기 = 비선형 변조기
SLMOS 	Subscriber Line Maintenance & Operation System, 가입자 회선 운영 보전 시스템
SLP 	Segmented Level Programming
SLP 	Signaling Link Pointer
SLP 	Single Link Procedure
SLP 	Sound Level Pressing, 음압
SLP 	Source Language Processor
SLPB 	Service Logic Processing Program Block (IMT-2000)
SLPI 	Service Logic processing Program Instance (IMT-2000)
SLPI 	Service Logic Program Instance
SLPI 	Service Program Instance
SLR 	Send Loudness Rating, 송화계 수화음량율
SLR 	Storage limits Register
SLRAP 	Standard Low Frequency Range Approach
SLRN 	Select Read Numerically
SLRN 	Source Local Reference Number, 연결형 서비스에서 자기쪽의 신호연결설정을 나타내는 참조번호
SLS 	Side-Lobe Suppression, 옆 돌출부 억압
SLS 	Spacelab Life Science
SLSC 	Split-Luminance Split-Chrominance system, SLSC 시스템
SLSIM 	Service Logic Selection/Interaction Manager
SLT 	Signaling Link Test, 신호 링크 시험
SLT 	Solid Logic Technology, 고체 논리 기술
SLT 	Solid-Logic Technology, 고체 논리 기술
SLT 	Subscriber Line Terminal, 가입자선 단국장치
SLTA 	Signaling Link Test Message Acknowledgement, 신호 링크시험 메시지 확인
SLTC 	Signaling Link Test Control
SLTM 	Signaling Link Test Message, 신호 링크시험 메시지
SLU 	Syllable-like Unit, 유사 음절 단위 (음성)
SLV 	Space Launch Vehicle
SM 	Scalable Mode, 스케일러빌리티의 모드 지정 (MPEG)
SM 	Shared Memory, 공유 메모리
SM 	Simulation Model, 시뮬레이션 모델 (MPEG)
SM 	Source Module, 소스 모듈
SM 	Storage Mark
SM 	Supervisory Memory, 감시 메모리
SM 	Supervisory Mode, 슈퍼바이저 모드
SM 	Switching Module, 스위칭 모듈
SM 	Synchronous Multiplexing
SM600 	Switch Matrix, 스위치 행렬
SMA 	Search Mode Acquisition
SMA 	Systems management Association
SMAB 	Signaling Message Analysis Block (IMT-2000)
SMAF 	Service Management Access Function, 서비스 관리 액세스 기능
SMAF 	Service Management Agent Function
SMAP 	SendMail Application Proxy
SMAP 	System Management Application Process
SMAP 	Systems-Management Application Process
SMAS 	Service Management ... Subsystem, 서비스 관리 장치
SMAS 	SWAN Maintenance and Adminstration SUbsystem
SMASE 	Systems-Management Application-Service Element
SMB 	Server Message Block
SMBC 	STP Modem Control Block (IMT-2000)
SMBE 	Simplified MBE (음성)
SMBL 	Statistics MIB Loader
SMC 	Serial Management Controller
SMC 	Serial Message Controller
SMC 	Short Message service Center, 단문 메시지 서비스 센터
SMC 	SMS Center, 단문 메시지 서비스 센터
SMCs 	Serial Management Controllers
SMD 	Scheduling Management Display
SMD 	Surface-Mounted Device, 표면 장착 부품
SMD 	the Single Data Message, 싱글 데이터 메시지
SMDS 	Switched Multi-Megabit Data Service, 스위치드 멀티메가비트 데이터서비스
SME 	Society of Manufacturing Engineers
SMEK 	SMAS Environment Block
SMF 	Service Management Function, 서비스 관리 기능
SMF 	Single Mode Fiber
SMF 	System Management Function, 시스템 관리 기능
SMF-PMD 	Single Mode Fiber-PDM
SMFA 	Specific Management Functional Area
SMG5 	Special Mobile Group 5
SMHP 	Signal Message Handling Processor, 메시지 처리기, 신호 메시지 관리 프로세서
SMHP 	Signaling Message Handling Processor, 메시지 처리부, 신호 메시지 관리 프로세서, No.7 신호 처리 블럭
SMHS 	Signaling Message Handling Subsystem
SMI 	Structure of Management Information, 관리 정보 구조
SMIS 	Society for Management Information Systems
SML 	Symbolic Machine Language
SML 	Symbolic Mathematical Laboratory
SMLA 	Signaling Terminal Management Logic board Assembly
SMM 	Statistics Measurement Manager (IMT-2000)
SMMB 	Statistics Measurement Management Block (IMT-2000)
SMN SDH 	Management Network
SMP 	Sampler
SMP 	Service Management Point
SMP 	Service Management Program, 서비스 관리 프로그램
SMP 	Session Management Protocol
SMP 	Simple Management Protocol
SMP 	Symmetric Multi-Processing
SMP 	Symmetric MultiProcessing, 동기식 다중처리
SMP 	Symmetric MultiProcessor, 동기식 다중처리기
SMPA 	Signaling Message Processor Assembly board
SMPA 	Signaling Terminal Management Processor Assembly
SMPS 	Switching Mode Power Supply, DC-DC 컨버터
SMPTE 	Society of Motion Picture and Television Engineers, 심프티, 영화?텔레비전 기술자 협회 (미국)
SMPTE260M 	Society of Motion Picture and Television Engineers, 텔레비전 표준기구
SMR 	Sample Mate Register, 대응회로 제어레지스터
SMR 	Signal to Mask Ratio
SMR 	Special Mobile Radio
SMR 	Specialized Mobile Radio
SMS 	Service Management System, 가입자 등록 장치
SMS 	Short Message Service, 단문 메시지 서비스
SMS 	Simple Markov Source, 단순 마르코브 정보원
SMS 	Standard Modular System of Packaging (IBM)
SMS 	Storage Management System
SMS 	Subscriber Management Service, 가입자 관리 서비스
SMS 	Subscriber Management System, 가입자 관리 시스템
SMS 	System Maintenance Subsystem
SMS 	System Management Server
SMS-SC 	Short Message Service-Service Center
SMSB 	Modem Software Block (IMT-2000)
SMSCH 	Short-Message-Service Channel
SMSID 	Subscriber Management System ID
SMSN 	SMS Notification
SMT 	Station Management, 지국 관리, 스테이션 매니지먼트, 단말국 관리 규정*
SMT 	Surface Mount Technology
SMTP 	Simple Mail Transfer Protocol, 간이 전자 우편 전송 프로토콜
SMU 	Server Management Unit, 서비스 관리 유닛
SMX 	SubMultiplexer Unit
SN 	Sequence Number, 순서 번호
SN 	Service Node
SN 	Service Node
SN 	Sign, 신호
SN 	Signal-to-Noise
SN 	Signal-to-Noise ratio
SN 	Star Network, 성형 회선망
SN 	Subnetwork, 서브네트워크
SNA 	System Network Architecture, 시스템 네트워크 체계(IBM)
SNA 	Systems Network Architecture, 시스템 네트워크 체계
SNACS 	SHARE News on Automatic Coding Systems
SNADS 	System Network Architecture Distribution Service, 스나즈, 시스템 망구조 분산 처리 서비스
SNAP 	Simplified Numerical Automatic Coding Systems
SNAP 	SubNetwork Access Protocol, 스냅, 서브네트워크 액세스 프로토콜
SNAP 	SubNetwork Attaching Point
SNG 	Satellite News Gathering, 위성 통신 뉴스 취재, 현장 뉴스 중계
SNGTMM 	Signaling Network Global Test and Maintenance Module
SNI 	Sequence-Number Indicator
SNI 	SNA Network Interconnection, 시스템네트워크아키텍쳐 네트워크 인터커넥션
SNI 	Subscriber Network Interface, 서브스크라이버 네트워크 인터페이스
SNI 	Subscriber Node Interface
SNM 	Serial Number Module
SNMP 	Simple Network Management Protocol, 간이 통신망 관리 프로토콜
SNMPv2 	SNMP version 2
SNO 	Serial Number
SNOBOL 	String-Oriented Symbolic Language, 스노볼
SNP 	Sequence Number Protection, 순서 번호 보호*
SNP 	SNR Profile 
SNR 	Signal to Noise Ratio, 신호대 잡신호 비, 평균 반송파 전력대 평균 잡음 전력비
SNR 	Signal to quantization Noise or overload Noise Ratio, 신호대 양자화 잡음 또는 과부하 잡음비
SNR 	Signal-to-Noise Ratio, S/N비, 신호 대 잡신호 비
SNR@LL 	SNR Profile at Low Level, SNR 프로파일의 로우 레벨 (MPEG)
SNR@ML 	SNR Profile at Main Level, SNR 프로파일의 메인 레벨 (MPEG)
SNRM 	Set Normal Response Mode, 정규 응답 모드 설정 명령
SNRS 	SNR Scalability, SNR 스케일러빌리티 (MPEG)
SNS 	Switching Network Subsystem, 스위칭 네트워크 서브시스템
SNUG 	Scientific Users Group (NCR)
SO 	Shift-Out character, 시프트 아웃 문자
SO 	Shift-Out, 시프트 아웃
SO/SI 	Shift Out and Shift In
SOA 	Save Operating Area
SOA 	State of the Art (reliability term)
SOAP I 	Symbolic Optimum Assembly Programming one (IBM 650)
SOC 	Set Overrides Clear
SOC 	System On Chip
SOC 	System Organization Compiler
SOCRATES 	Scheduling Of Classes Realized Automatically Thorugh Effortless Systemization
SOCRATES 	System for Organizing Content to Review And Teach Educational Subjects
SOCRATES 	System Of Cellular RAdio for Traffic Efficienty and Safety
SOCS 	Speech Output from Case Structured representation (음성)
SOD 	Service Order, 서비스 오더
SODA 	Source Oriented Data Acquisition
SODAS 	Structure Oriented Description And Simulation
SOF 	Start Of Frame, 프레임의 개시 마커
SOF 	Start Of TDMA Frame
SOFM 	Self Organizing Feature Map (음성)
SOFn 	Start Of Frame Marker, 프레임의 개시 마커
SOFT 	Simple Output Format Translator
SOG 	Sea Of Gate
SOH 	Section Overhead, 구간 오버헤드, 섹션 오버헤더
SOH 	Start Of Header, 헤더 개시
SOH 	Start Of Heading, 헤딩 개시, 정보 메시지의 헤딩 개시
SOH 	Start-Of-Heading character, 헤딩 개시 문자
SOHO 	Small Office/Home Office
SOI 	Start Of Image, 이미지 선두 마커
SOIC 	Small Outline Integrated Circuit
SOLID 	Self-organizing Large Information Dissemination System
SOLIS 	Symbiotics On-Line Information System
SOM 	Self-Organizing Map
SOM 	Start Of Message, 메시지 개시 문자, 메시지 시작
SOM 	System Object Model
SOMADA 	Self-Organizing Multiple-Access Discrete-Address
SONAR 	Sound Navigation And Ranging
SONET 	Synchronous Optical Network, 동기식 광 전송망, 동기식 광섬유망, 동기식 광통신망
SONIC 	Systemwide On-Line Network for Informational Control (Continental Air-lines)
SOP 	Small Outline Package, 소형 아웃라인 패키지
SOR 	Start Of Record
SOS 	Share Operation System, 공용 연산 방식
SOS 	Silicon-On-Sapphire technology, 실리콘-사파이어 기술
SOS 	Silicon-On-Sapphire, 사파이어상 실리콘
SOS 	Start Of Scan, 스캔의 선두 마커
SOS IC 	Silicon-On-Sapphire Integrated Circuit, 실리콘-사파이어 집적 회로
SOT 	Syntax-Oriented Translator
SOTUS 	Sequentially Operated Tleltypewriter Universal Selector
SOW 	Statement Of Work
SP 	Secondary Port
SP 	Serial Printer, 직렬 프린터
SP 	Service Plane, 서비스 평면
SP 	Signal Processor, 신호 프로세서
SP 	Signaling Point, 신호점
SP 	Simple Profile, 심플 프로파일
SP 	Speech Path Subsystem, 통화로계
SP 	Speech Path, 음성 경로
SP 	Stack Pointer, 스택 포인터
SP 	Structured Programming, 구조적 프로그래밍
SP 	Sub Processor, 하위 프로세서
SP 	Subscriber Protector, 가입자 보호기
SP@ML 	Simple Profile at Main Level, 심플 프로파일의 메인 레벨 (MPEG)
SPA 	Software Publishers Association, 소프트웨어 출판협회 (미국)
SPA 	Southern Psychological Association
SPA 	Southwestern Psychological Association
SPA 	Sudden Phase Anomaly, 돌발 위상 이상
SPA 	System Problem area
SPA 	Systems and Procedures Association
SPAC 	Spatial Computer (Bell labs)
SPACE 	Sales Profitability And Contribution Evaluator
SPACE 	Self-Programming Automatic Circuit Evaluator
SPACE 	SPAR ALCOM COBOL Executive Program
SPACH 	Short-message-service/Paging/Acess Channel
SPADATS 	Space Detection And Tracking System
SPADE 	Spare Parts Analysis Documentation and Evaluation
SPAG 	Standard Promotion and Application Group
SPAG 	Standards Promotion and Application Group, 유럽 표준 진흥 응용 그룹
SPAP 	Stationary Spectral Analysis Principle, 정적 스펙트럼 분석 이론 (음성)
SPAR 	Symbolic Program Assembly Routine
SPARC 	Scalable Processor ARChitecture, 스파크
SPARCS 	Structured Programming A Reasonably Complete Set, 스팍스
SPASM 	System Performance and Activity Software Monitor
SPASUR 	Space Surveillance System
SPAT 	Silicon Precision Alloy Transistor
Spatial@H-14 	Spatial Profile at High-1 440 Level, 공간 프로파일의 하이-1 440 레벨 (MPEG)
SPBC 	Speech Path Controller, 에스피 버스 제어 장치
SPC 	Signaling Point Code, 신호점 부호
SPC 	Stored Program Control, 축적 프로그램제어 (교환기)
SPCC 	Speech Path Common Control
SPCP 	Source Production Control Parameter, 음원 생성 파라미터 (음성)
SPDCN 	SNR-dependent PDCN (음성)
SPDP 	Society of Professional Data Processors
SPDT 	Service Profile Directive Timer
SPDT 	Single Pole Double Through, 경로결정
SPDU 	Section Protocol Data Unit, 세션 프로토콜 데이터부, 세션 프로토콜 데이터 단위
SPDU 	Service Protocol Data Unit, 서비스 프로토콜 데이터 유닛
SPE 	Speech Path Equipment, 통화로계 장치
SPE 	Stored Program Element
SPE 	Synchronous Payload Envelope
SPEC 	Specification, 규격
SPEC 	System Performance and Evaluation Cooperative, 스펙, 시스템 성능 평가 협의회
SPEC 	System Performance Evaluation Cooperative
SPEDAC 	Solid-state Parallel Expandable Differential Analyzer Computer
SPEDE 	State system for Processing Educational Data Electronically (Florida)
SPEDTAC 	Stored Program Educational Transistorized Automatic Computer
SPEED 	Self-Programmed Electronic Equation Delineator
SPERT 	Schedule Performance Evaluation and Review Technique
SPES 	Stored Program Element System (ITT)
SPF 	Shortest Path First
SPG 	Sort Program Generator
SPI 	SDH Physical Interface
SPI 	Serial Peripheral Interface
SPI 	Single Program Initiator
SPIB 	Society for Programmed Instruction in Belgium
SPICE 	Simulation Program with Integrated Circuit Emphasis
SPICOS 	Siemens-Philips-IPO Continuous Speech Recognition (독일) (음성)
SPICSR 	Siemens-Philips-IPO Continuous Speech Recognition (독일) (음성)
SPID 	Service Provider Identifications, 서비스 공급자 식별
SPIE 	Simulated Problem, Input Evaluation
SPIF 	Speech Path Bus Interface, 에스피 버스 인터페이스 회로
SPK 	Speaker, 스피커
SPL 	Sound Pressure Level, 음압레벨
SPL 	Sound-Pressure Level
SPL 	Space Programming Language
SPL 	Spaceborne Programming Language
SPL 	Student Programming Language
SPLC 	Split Charging
SPLINTER 	Scientific PL/I Interpreter
SPLIT 	Sunstrand Processing Language Internally Translated
SPM 	Separate Mode, 세퍼레이트 모드
SPM 	Sequential Processing Machines
SPM 	Source Program Maintenance
SPM 	Speech Path Memory, 통화 메모리
SPM 	Speech Production Model, 음성 생성 모델 (음성)
SPM 	Symbol Processing Machine
SPM-PMD 	SONET Physical Layer Mapping-PMD
SPMD 	Single Program, Multiple Data
SPN 	Switched Private Network service
SPOM 	System Parameter Overhead Message, 제어 채널의 수를 수행
SPOOK 	Supervisor Program Over Other Kinds
SPOOL 	Simultaneous Peripheral Operation On-Line, 스풀
SPOOL 	Simultaneous Peripheral Operation OnLine, 스풀
SPOS 	Signal Processing Operating System
SPOS 	Signaling Processor Operating System
SPOX 	DSP Operating System (IMT-2000)
SPRT 	Service Profile Request Timer, 서비스 프로파일 요구 타이머
SPS 	Standard Positioning Service, 표준 측위 서비스
SPS 	Symbol Per Second, 초당 심볼수
SPT 	Symbolic Program Tape
SPT 	Symbolic Program Translator
SPU 	Sense Punch
SPU 	Service Data Unit, 서비스 데이터 단위
SPUD 	Statistical Package Utilizing Disk
SPURT 	Speech Understanding System with Rule-based and Topic Directed architecture
SPX 	Sequenced Packet Exchange
SPX 	Sequenced Packet Exchanger
SP_Code 	Signaling Point Code, 신호점 코드값
SP_Name 	Signaling Point Name, 신호점 이름
SQ 	Scalar Quantization, 스칼라 양자화 (음성)
SQC 	Statistical Quality Control
SQD 	Signal Quality Detect, 신호 품질 검출
SQE 	Signal Quality Error
SQEG 	Speech Quality Experts Group (음성)
SQL 	Structured Query Language, 구조적 질의어, 구조 질의어
SQLCA 	Structured Query Language Communication Area
SQLDA 	Structured Query Language Descriptor Area
SQPSK 	Staggered Quadrature Phase Shift Keying
SQR 	Square Root, 제곱근
SQRT 	Square Rooter
SQUID 	Superconducting Quantum Interference Device, 스퀴드, 초전도 양자 간섭 소자
SR 	Semantic Representation, 의미 표현 (음성)
SR 	Sequential Read, 시퀀셜 리드
SR 	Set-Reset flip-flop
SR 	Shift Register, 시프트 레지스터
SR 	Shift Reverse, 쉬프트 레지스터
SR 	Silicon Rectifier, 실리콘 정류기
SR 	Sorter-Reader
SR 	Special Report
SR 	Speed Regulator
SR 	Status Register, 실리콘 정류기, 상태 레지스터
SR 	Stimulus-response plan (음성)
SR 	Study Requirement
SR 	Subroutine
SR 	System Reconfiguration, 시스템 재구성 처리
SR ARQ 	Selective-Repeat Automatic Repeat Request, 선택적 재전송 ARQ 방식
SR/TLB 	Source-Route/Translational Bridging, 소스-루트 번역적 브리징
SR2DBMS 	Static Roll-back Relational Database Management System, 스태틱 롤-백 릴레이셔널데이터베이스 시스템
SRAEN 	Systeme de Reference pour la determination des AEN, AEN 결정용 기준계
SRAM 	Static Random Access Memory, 정적 임의 접근 기억 장치, 정적램, 스태틱램
SRARQ 	Selective-Repeat Automatic Repeat Request, 선택적 재전송 ARQ 방식
SRB 	Source Routing Bridging, 소스-루트 브리징
SRC-REF 	출발 참조 번호
SRD 	Signal Receiver and Distributor
SRE 	Switch Routing Element
SREJ 	Selective Reject, 선택 재송 방식
SRF 	Specialized Resource Function (IMT-2000)
SRI 	Stanford Research Institute
SRM 	Server Request Manager
SRN 	Simple Recurrent Neural Network (음성)
SRNN 	Simple Recurrent Neural Network (음성)
SRP 	Stimulus-response plan (음성)
SRP 	Supervisor Root Pointer register
SRQ 	Service ReQuest, 서비스 요구
SRS 	Service Routine System, 서비스 루틴 시스템
SRS 	Speech Recognition System, 음성 인식 시스템 (음성)
SRS 	Student Response System
SRT 	Secondary Reference Terminal
SRT 	Source-Route Transparent bridging, 소스-루트 투과 브리징
